# 41556,-0.3667764,0.35192886,0.4181981,0.87044954
00210	0.3135056	0.7633538	Portsmouth, NH
00211	0.3135056	0.7633538	Portsmouth, NH
00212	0.3135056	0.7633538	Portsmouth, NH
00213	0.3135056	0.7633538	Portsmouth, NH
00214	0.3135056	0.7633538	Portsmouth, NH
00215	0.3135056	0.7633538	Portsmouth, NH
00501	0.30247012	0.7226447	Holtsville, NY
00544	0.30247012	0.7226447	Holtsville, NY
01001	0.29536617	0.742954	Agawam, MA
01002	0.29843047	0.7478273	Amherst, MA
01003	0.29629046	0.74733305	Amherst, MA
01004	0.29775193	0.7479712	Amherst, MA
01005	0.302632	0.7482096	Barre, MA
01007	0.29958177	0.7465452	Belchertown, MA
01008	0.29309207	0.7430645	Blandford, MA
01009	0.30066824	0.74547637	Bondsville, MA
01010	0.302785	0.74424756	Brimfield, MA
01011	0.29267046	0.74506783	Chester, MA
01012	0.29383755	0.74713147	Chesterfield, MA
01013	0.29678938	0.74368894	Chicopee, MA
01014	0.29752877	0.7440418	Chicopee, MA
01020	0.29802647	0.74428964	Chicopee, MA
01021	0.29752877	0.7440418	Chicopee, MA
01022	0.29806045	0.74458635	Chicopee, MA
